,id,country,name,affiliation,draft,title,submission_date,wg,docid
0,6291,Netherlands,Daniel Karrenberg,RIPE NCC,draft-ietf-dnsop-root-opreq-05,Root Name Server Operational Requirements,2000-06-01,dnsop,RFC2870
1,10054,"Herndon, VA 22070-5100",Mark Kosters,Network Solutions,draft-ietf-dnsop-root-opreq-05,Root Name Server Operational Requirements,2000-06-01,dnsop,RFC2870
2,113210,"McLean, Virginia 22102",Raymond Plzak,SAIC,draft-ietf-dnsop-root-opreq-05,Root Name Server Operational Requirements,2000-06-01,dnsop,RFC2870
3,5234,"Bainbridge Island, WA US-98110",Randy Bush,Verio,draft-ietf-dnsop-root-opreq-05,Root Name Server Operational Requirements,2000-06-01,dnsop,RFC2870
4,110721,"Redwood City, CA 94063",Ted Hardie,"Nominum, Inc.",draft-ietf-dnsop-hardie-shared-root-server-07,Distributing Authoritative Name Servers via Shared Unicast Addresses,2002-04-01,dnsop,RFC3258
5,105347,Sweden,Johan Stenstam,Autonomica,draft-ietf-dnsop-ipv6-transport-guidelines-02,DNS IPv6 Transport Operational Guidelines,2004-09-01,dnsop,RFC3901
6,105328,USA,Alain Durand,SUN Microsystems,draft-ietf-dnsop-ipv6-transport-guidelines-02,DNS IPv6 Transport Operational Guidelines,2004-09-01,dnsop,RFC3901
7,9181,Japan,森下泰宏,JPRS,draft-ietf-dnsop-misbehavior-against-aaaa-02,Common Misbehavior Against DNS Queries for IPv6 Addresses,2005-05-01,dnsop,RFC4074
8,21639,Japan,Tatsuya Jinmei,Toshiba,draft-ietf-dnsop-misbehavior-against-aaaa-02,Common Misbehavior Against DNS Queries for IPv6 Addresses,2005-05-01,dnsop,RFC4074
9,111292,US,Jaehoon Paul Jeong,ETRI/University of Minnesota,draft-ietf-dnsop-ipv6-dns-configuration-06,IPv6 Host Configuration of DNS Server Information Approaches,2006-02-01,dnsop,RFC4339
10,105328,USA,Alain Durand,Comcast,draft-ietf-dnsop-ipv6-dns-issues-12,Operational Considerations and Issues with IPv6 DNS,2006-04-01,dnsop,RFC4472
11,105347,Sweden,Johan Stenstam,Autonomica,draft-ietf-dnsop-ipv6-dns-issues-12,Operational Considerations and Issues with IPv6 DNS,2006-04-01,dnsop,RFC4472
12,105452,Finland,Pekka Savola,CSC/FUNET,draft-ietf-dnsop-ipv6-dns-issues-12,Operational Considerations and Issues with IPv6 DNS,2006-04-01,dnsop,RFC4472
13,117929,The Netherlands,Olaf Kolkman,NLnet Labs,draft-ietf-dnsop-dnssec-operational-practices-08,DNSSEC Operational Practices,2006-09-01,dnsop,RFC4641
14,114831,,R. (Miek) Gieben,NLnet Labs,draft-ietf-dnsop-dnssec-operational-practices-08,DNSSEC Operational Practices,2006-09-01,dnsop,RFC4641
15,105539,USA,Piet Barber,"VeriSign, Inc.",draft-ietf-dnsop-bad-dns-res-06,Observed DNS Resolution Misbehavior,2006-10-01,dnsop,RFC4697
16,119102,USA,Matt Larson,"VeriSign, Inc.",draft-ietf-dnsop-bad-dns-res-06,Observed DNS Resolution Misbehavior,2006-10-01,dnsop,RFC4697
17,9004,US,David R. Conrad,ICANN,draft-ietf-dnsop-serverid-08,Requirements for a Mechanism Identifying a Name Server Instance,2007-06-01,dnsop,RFC4892
18,18009,US,Suzanne Woolf,Internet Systems Consortium,draft-ietf-dnsop-serverid-08,Requirements for a Mechanism Identifying a Name Server Instance,2007-06-01,dnsop,RFC4892
19,107479,BR,Frederico Neves,Registro.br,draft-ietf-dnsop-reflectors-are-evil-06,Preventing Use of Recursive Nameservers in Reflector Attacks,2008-10-01,dnsop,RFC5358
20,123932,US,Joao da Silva Damas,ISC,draft-ietf-dnsop-reflectors-are-evil-06,Preventing Use of Recursive Nameservers in Reflector Attacks,2008-10-01,dnsop,RFC5358
21,117099,US,Wes Hardaker,"Sparta, Inc.",draft-ietf-dnsop-name-server-management-reqs-05,Requirements for Management of Name Servers for the DNS,2011-05-01,dnsop,RFC6168
22,18149,US,Mark P. Andrews,ISC,draft-ietf-dnsop-default-local-zones-15,Locally Served DNS Zones,2011-07-01,dnsop,RFC6303
23,107646,Canada,William F. Maton,NRC-CNRC,draft-ietf-dnsop-as112-ops-09,AS112 Nameserver Operations,2011-07-01,dnsop,RFC6304
24,105113,US,Joe Abley,ICANN,draft-ietf-dnsop-as112-ops-09,AS112 Nameserver Operations,2011-07-01,dnsop,RFC6304
25,107646,Canada,William F. Maton,NRC-CNRC,draft-ietf-dnsop-as112-under-attack-help-help-06,I'm Being Attacked by PRISONER.IANA.ORG!,2011-07-01,dnsop,RFC6305
26,105113,US,Joe Abley,ICANN,draft-ietf-dnsop-as112-under-attack-help-help-06,I'm Being Attacked by PRISONER.IANA.ORG!,2011-07-01,dnsop,RFC6305
27,117929,The Netherlands,Olaf Kolkman,NLnet Labs,draft-ietf-dnsop-rfc4641bis-13,"DNSSEC Operational Practices, Version 2",2012-12-01,dnsop,RFC6781
28,118743,The Netherlands,Matthijs Mekking,NLnet Labs,draft-ietf-dnsop-rfc4641bis-13,"DNSSEC Operational Practices, Version 2",2012-12-01,dnsop,RFC6781
29,113085,The Netherlands,R. (Miek) Gieben,SIDN Labs,draft-ietf-dnsop-rfc4641bis-13,"DNSSEC Operational Practices, Version 2",2012-12-01,dnsop,RFC6781
30,110332,Sweden,Fredrik Ljunggren,Kirei AB,draft-ietf-dnsop-dnssec-dps-framework-11,A Framework for DNSSEC Policies and DNSSEC Practice Statements,2013-01-01,dnsop,RFC6841
31,110753,USA,Tomofumi Okubo,ICANN,draft-ietf-dnsop-dnssec-dps-framework-11,A Framework for DNSSEC Policies and DNSSEC Practice Statements,2013-01-01,dnsop,RFC6841
32,110333,Sweden,Anne-Marie Eklund-Lowinder,,draft-ietf-dnsop-dnssec-dps-framework-11,A Framework for DNSSEC Policies and DNSSEC Practice Statements,2013-01-01,dnsop,RFC6841
