,id,country,name,affiliation,draft,title,submission_date,wg,docid
0,102154,UK,Alexey Melnikov,Isode Ltd,draft-ietf-lamps-eai-addresses-18,Internationalized Email Addresses in X.509 Certificates,2018-05-01,lamps,RFC8398
1,116262,US,Wei Chuang,"Google, Inc.",draft-ietf-lamps-eai-addresses-18,Internationalized Email Addresses in X.509 Certificates,2018-05-01,lamps,RFC8398
2,5376,USA,Russ Housley,Vigil Security,draft-ietf-lamps-rfc5280-i18n-update-04,Internationalization Updates to RFC 5280,2018-05-01,lamps,RFC8399
3,110910,,Jim Schaad,August Cellars,draft-ietf-lamps-rfc5750-bis-08,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Certificate Handling,2019-04-01,lamps,RFC8550
4,21446,,Blake C. Ramsdell,"Brute Squad Labs, Inc.",draft-ietf-lamps-rfc5750-bis-08,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Certificate Handling,2019-04-01,lamps,RFC8550
5,19483,,Sean Turner,sn3rd,draft-ietf-lamps-rfc5750-bis-08,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Certificate Handling,2019-04-01,lamps,RFC8550
6,110910,,Jim Schaad,August Cellars,draft-ietf-lamps-rfc5751-bis-11,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification,2019-04-01,lamps,RFC8551
7,21446,,Blake C. Ramsdell,"Brute Squad Labs, Inc.",draft-ietf-lamps-rfc5751-bis-11,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification,2019-04-01,lamps,RFC8551
8,19483,,Sean Turner,sn3rd,draft-ietf-lamps-rfc5751-bis-11,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification,2019-04-01,lamps,RFC8551
9,5376,US,Russ Housley,Vigil Security,draft-ietf-lamps-hash-of-root-key-cert-extn-07,Hash Of Root Key Certificate Extension,2019-08-01,lamps,RFC8649
10,110217,,Phillip Hallam-Baker,,draft-ietf-lamps-rfc6844bis-07,DNS Certification Authority Authorization (CAA) Resource Record,2019-11-01,lamps,RFC8659
11,111932,,Rob Stradling,Sectigo Ltd.,draft-ietf-lamps-rfc6844bis-07,DNS Certification Authority Authorization (CAA) Resource Record,2019-11-01,lamps,RFC8659
12,119956,,Jacob Hoffman-Andrews,Let's Encrypt,draft-ietf-lamps-rfc6844bis-07,DNS Certification Authority Authorization (CAA) Resource Record,2019-11-01,lamps,RFC8659
13,115376,,Panos Kampanakis,Cisco,draft-ietf-lamps-pkix-shake-15,Internet X.509 Public Key Infrastructure: Additional Algorithm Identifiers for RSASSA-PSS and ECDSA Using SHAKEs,2019-12-01,lamps,RFC8692
14,125010,USA,Quynh Dang,NIST,draft-ietf-lamps-pkix-shake-15,Internet X.509 Public Key Infrastructure: Additional Algorithm Identifiers for RSASSA-PSS and ECDSA Using SHAKEs,2019-12-01,lamps,RFC8692
15,5376,USA,Russ Housley,Vigil Security,draft-ietf-lamps-cms-mix-with-psk-07,Using Pre-Shared Key (PSK) in the Cryptographic Message Syntax (CMS),2019-12-01,lamps,RFC8696
