Date,ARTICLE 19,Center for Democracy and Technology,Afnic,Cisco,Stephen Farrell,Tony Rutkowski,University of Amsterdam,acm.org,Ted Lemon,Vittorio Bertola,Inside Products Inc.,Oracle,internet-drafts@ietf.org,Fastly,Mozilla,Texas A&M University,Niels ten Oever,Internet Society,Amelia Andersdotter,HealthURL Consulting,Akamai Technologies,avri@doria.org,Fred Baker,Packet Clearing House,IETF Secretariat,IETF Meeting Session Request Tool,University of Glasgow,Andrew Sullivan,Yale Law School,Corinne Cath,Eric Rescorla,Digital Medusa,Red Hats,Brave Software,Shivan,TM,APC,University of Tripoli,Stéphane Couture,Bill Jouris,Timothy Holborn,Open Book Software Publishing,Phillip Hallam-Baker,michaela@gp-digital.org,Interpeer gUG,"""IETF Meeting Session Request Tool """"
 <session_request_developers@ietf.org>",Jane Coffin,Joss Wright,Avri,Alp Toker
2014-12-31 00:00:00+00:00,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31 00:00:00+00:00,126.0,16.0,29.0,5.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 00:00:00+00:00,148.0,46.0,31.0,21.0,43.0,0.0,0.0,26.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0
2017-12-31 00:00:00+00:00,109.0,5.0,45.0,16.0,28.0,0.0,0.0,15.0,8.0,1.0,0.0,17.0,7.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0
2018-12-31 00:00:00+00:00,188.0,0.0,45.0,43.0,37.0,99.0,0.0,17.0,57.0,41.0,77.0,18.0,5.0,26.0,0.0,2.0,1.0,4.0,34.0,0.0,12.0,16.0,19.0,0.0,5.0,3.0,0.0,24.0,0.0,8.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,1.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0
2019-12-31 00:00:00+00:00,8.0,2.0,6.0,21.0,7.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,5.0,7.0,8.0,0.0,31.0,11.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31 00:00:00+00:00,0.0,22.0,4.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,15.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,5.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31 00:00:00+00:00,0.0,35.0,16.0,15.0,3.0,0.0,29.0,0.0,3.0,9.0,0.0,0.0,7.0,0.0,10.0,33.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,4.0,6.0,0.0,17.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31 00:00:00+00:00,0.0,24.0,0.0,8.0,13.0,0.0,22.0,1.0,0.0,7.0,0.0,13.0,10.0,2.0,7.0,4.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,12.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
2023-12-31 00:00:00+00:00,0.0,22.0,0.0,16.0,4.0,17.0,43.0,3.0,2.0,12.0,0.0,0.0,6.0,4.0,22.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,0.0,0.0,0.0,17.0,9.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,11.0,10.0,10.0,0.0,5.0,0.0,0.0,0.0
