year,Cisco,Cloudflare,Ericsson,Google,Huawei,Huawei Technologies,ICANN,Mozilla,Nokia Corporation,Old Dog Consulting
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2008,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2009,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,10.0
2010,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2011,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2013,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2014,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0
2015,6.0,0.0,8.0,12.0,4.0,0.0,4.0,6.0,0.0,0.0
2016,0.0,2.0,0.0,12.0,2.0,6.0,2.0,4.0,0.0,0.0
2017,12.0,2.0,0.0,6.0,12.0,6.0,6.0,0.0,0.0,2.0
2018,2.0,0.0,4.0,4.0,4.0,6.0,0.0,2.0,0.0,0.0
2019,10.0,4.0,6.0,0.0,6.0,10.0,6.0,2.0,2.0,4.0
2020,16.0,2.0,12.0,10.0,6.0,14.0,4.0,0.0,0.0,2.0
2021,6.0,2.0,32.0,14.0,0.0,6.0,4.0,14.0,0.0,0.0
2022,0.0,10.0,8.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0
2023,10.0,4.0,10.0,6.0,0.0,4.0,4.0,4.0,12.0,0.0
2024,6.0,10.0,24.0,2.0,4.0,8.0,8.0,4.0,8.0,0.0
2025,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
